Subject,Start Date,Start Time,End Date,End Time,Stamp,Category,UID
New Year's Day,2022-01-01,00:00,2022-01-02,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-AzgLySvdbvuyJ43A@sohnemann.github.com
New Year's Day (Mondayised),2022-01-03,00:00,2022-01-04,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-E9ah2upqVRKWA1QS@sohnemann.github.com
Day after New Year's Day,2022-01-02,00:00,2022-01-03,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-Haf2Rp1wcxQLNzNZ@sohnemann.github.com
Day after New Year's Day (Tuesdayised),2022-01-04,00:00,2022-01-05,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-FsIEIsqaXR9JcsTv@sohnemann.github.com
Waitangi Day,2022-02-06,00:00,2022-02-07,00:00,20220129T042448Z,WAITANGIDAY,20240813T112838-vqp2he2fIXtk645g@sohnemann.github.com
Waitangi Day (Mondayised),2022-02-07,00:00,2022-02-08,00:00,20220129T042448Z,WAITANGIDAY,20240813T112838-gOL3VJTmzfhUSZmo@sohnemann.github.com
Good Friday,2022-04-15,00:00,2022-04-16,00:00,20220129T042448Z,EASTER,20240813T112838-9tuAOiG3C9HjJ12i@sohnemann.github.com
Easter Monday,2022-04-18,00:00,2022-04-19,00:00,20220129T042448Z,EASTER,20240813T112838-qQvhRfJveMfXu3bo@sohnemann.github.com
Anzac Day,2022-04-25,00:00,2022-04-26,00:00,20220129T042448Z,ANZACDAY,20240813T112838-JSUYY4KSGgSv4h7J@sohnemann.github.com
King's Birthday,2022-06-06,00:00,2022-06-07,00:00,20220129T042448Z,SOVEREIGNSBIRTHDAY,20240813T112838-LpI2AJAGltLaR1Eo@sohnemann.github.com
Matariki,2022-06-24,00:00,2022-06-25,00:00,20220129T042448Z,MATARIKI,20240813T112838-5BkVRkjMDFF9ZiMz@sohnemann.github.com
Labour Day,2022-10-24,00:00,2022-10-25,00:00,20220129T042448Z,LABOURDAY,20240813T112838-cl99I1S01Mx4GAWb@sohnemann.github.com
Christmas Day,2022-12-25,00:00,2022-12-26,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-ZlqVBC7QXLTJHhrj@sohnemann.github.com
Christmas Day (Tuesdayised),2022-12-27,00:00,2022-12-28,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-MKknldNLq3hqKWm9@sohnemann.github.com
Boxing Day,2022-12-26,00:00,2022-12-27,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-i4ZcC11lbk8138Y5@sohnemann.github.com
Wellington Anniversary,2022-01-24,00:00,2022-01-25,00:00,20220129T042448Z,WELLINGTONANNIVERSARY,20240813T112838-J4YbC7ZbSgObIagK@sohnemann.github.com
Auckland Anniversary,2022-01-31,00:00,2022-02-01,00:00,20220129T042448Z,AUCKLANDANNIVERSARY,20240813T112838-YWOqkaJlipZ4ota3@sohnemann.github.com
Nelson Anniversary,2022-01-31,00:00,2022-02-01,00:00,20220129T042448Z,NELSONANNIVERSARY,20240813T112838-xVNfD58uE4WB5EoY@sohnemann.github.com
Taranaki Anniversary,2022-03-14,00:00,2022-03-15,00:00,20220129T042448Z,TARANAKIANNIVERSARY,20240813T112838-q3yO9HFncFo7hLQK@sohnemann.github.com
Otago Anniversary,2022-03-21,00:00,2022-03-22,00:00,20220129T042448Z,OTAGOANNIVERSARY,20240813T112838-w8Qjvj8VngcPibWG@sohnemann.github.com
Southland Anniversary,2022-04-19,00:00,2022-04-20,00:00,20220129T042448Z,SOUTHLANDANNIVERSARY,20240813T112838-XRavTslY5zytxcrt@sohnemann.github.com
Queen Elizabeth II Memorial Day,2022-09-26,00:00,2022-09-27,00:00,20220129T042448Z,QEIIMEMORIALDAY,20240813T112838-9595lJcze5seJeOp@sohnemann.github.com
South Canterbury Anniversary,2022-09-26,00:00,2022-09-27,00:00,20220129T042448Z,SOUTHCANTERBURYANNIVERSARY,20240813T112838-dmJizqvSy3ZhJtPR@sohnemann.github.com
Hawke's Bay Anniversary,2022-10-21,00:00,2022-10-22,00:00,20220129T042448Z,HAWKESBAYANNIVERSARY,20240813T112838-RYjj0Qlf8tf8XTI8@sohnemann.github.com
Marlborough Anniversary,2022-10-31,00:00,2022-11-01,00:00,20220129T042448Z,MARLBOROUGHANNIVERSARY,20240813T112838-Fj8NmaRHsjUUXdfv@sohnemann.github.com
Canterbury Anniversary,2022-11-11,00:00,2022-11-12,00:00,20220129T042448Z,CANTERBURYANNIVERSARY,20240813T112838-3e2I89hDsfZNhbt7@sohnemann.github.com
Westland Anniversary,2022-11-28,00:00,2022-11-29,00:00,20220129T042448Z,WESTLANDANNIVERSARY,20240813T112838-Ddki0mJynSdoszCX@sohnemann.github.com
Chatham Islands Anniversary,2022-11-28,00:00,2022-11-29,00:00,20220129T042448Z,CHATHAMISLANDSANNIVERSARY,20240813T112838-NENAmiDw811SU82G@sohnemann.github.com
New Year's Day,2023-01-01,00:00,2023-01-02,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-hISNIwThIxJDT914@sohnemann.github.com
New Year's Day (Tuesdayised),2023-01-03,00:00,2023-01-04,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-3ERURWPJTjh1nhx7@sohnemann.github.com
Day after New Year's Day,2023-01-02,00:00,2023-01-03,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-irj8ON9IWYblYv0v@sohnemann.github.com
Waitangi Day,2023-02-06,00:00,2023-02-07,00:00,20220129T042448Z,WAITANGIDAY,20240813T112838-v2gdqNC3GDMcE2XQ@sohnemann.github.com
Good Friday,2023-04-07,00:00,2023-04-08,00:00,20220129T042448Z,EASTER,20240813T112838-KuymeiC2xkwc7GBQ@sohnemann.github.com
Easter Monday,2023-04-10,00:00,2023-04-11,00:00,20220129T042448Z,EASTER,20240813T112838-jH8TsMwx7EL2w8ee@sohnemann.github.com
Anzac Day,2023-04-25,00:00,2023-04-26,00:00,20220129T042448Z,ANZACDAY,20240813T112838-viw62e8wfV3xqfUo@sohnemann.github.com
King's Birthday,2023-06-05,00:00,2023-06-06,00:00,20220129T042448Z,SOVEREIGNSBIRTHDAY,20240813T112838-MAycqjQvQ1KwCf1v@sohnemann.github.com
Matariki,2023-07-14,00:00,2023-07-15,00:00,20220129T042448Z,MATARIKI,20240813T112838-m86UV3HbYGRPjiWH@sohnemann.github.com
Labour Day,2023-10-23,00:00,2023-10-24,00:00,20220129T042448Z,LABOURDAY,20240813T112838-vP1Uv81B2MUc1kMr@sohnemann.github.com
Christmas Day,2023-12-25,00:00,2023-12-26,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-7zWy3sXiF5bovDuI@sohnemann.github.com
Boxing Day,2023-12-26,00:00,2023-12-27,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-awheU2qPcjo4YyE7@sohnemann.github.com
Wellington Anniversary,2023-01-23,00:00,2023-01-24,00:00,20220129T042448Z,WELLINGTONANNIVERSARY,20240813T112838-vkU8fTNy5Vbz43qO@sohnemann.github.com
Auckland Anniversary,2023-01-30,00:00,2023-01-31,00:00,20220129T042448Z,AUCKLANDANNIVERSARY,20240813T112838-4xiN5iO3vcrl7ArU@sohnemann.github.com
Nelson Anniversary,2023-01-30,00:00,2023-01-31,00:00,20220129T042448Z,NELSONANNIVERSARY,20240813T112838-yRolUIrn8eGxgMZE@sohnemann.github.com
